81020,12773,Philly Cheese Steak Pizza,"Made with tender slices of steak, onions, green peppers and mushrooms with provolone and american cheese on a cheesy provolone crust.&#8232;",3,1000,1,0,"mon,tue,wed,thu,fri,sat,sun",,,0,,"mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
81022,12773,Wisconsin 6 Cheese Pizza,"Robust tomato, sauce, cheeses made with 100% real mozzarella, feta, provolone, cheddar, parmesan and asiago sprinkled with oregano on a parmesan and asiago crust. &#8232;",1,1000,1,0,"mon,tue,wed,thu,fri,sat,sun",,,0,,"mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
289855,42898,MANGO &#33426;&#26524;  Slush &#20912;&#27801;,,2,1000,1,0,,,NULL,0,,,NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
289856,42898,PASSION FRUIT &#30334;&#39321;&#26524;  Slush &#20912;&#27801;,,3,1000,1,0,,,NULL,0,,,NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
289854,42898,TARO &#33419;&#39321; Slush &#20912;&#27801;,,1,1000,1,0,,,NULL,0,,,NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
25650,4395,"Roasted Fingerling Potato with Bacon and Cheddar, Topped with Creme Fraiche and Caviar&#8232;",,27,0,12,0,"mon,tue,wed,thu,fri,sat,sun",,NULL,0,,"mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
175935,26490,"Roasted Fingerling Potato with Bacon and Cheddar, Topped with Creme Fraiche and Caviar&#8232;",,27,0,12,0,"mon,tue,wed,thu,fri,sat,sun",,,0,,"mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
364777,53998,California roll &#53000;&#47532;&#54252;&#45768;&#50500;&#47204; &#21152;&#24030;&#21367;,,1,1000,1,0,,,NULL,0,,,NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
408085,60021,Sweet & Spicy (Grilled Whole Chicken)&#45804;&#53092;&#47588;&#50868;&#47579;,&#29980;&#36771;&#21475;&#21619;&#65288;&#28900;&#20840;&#38622;&#65289;&#49828;&#50967; &#50532; &#49828;&#54028;&#51060;&#49884;,2,1000,1,0,,,NULL,0,,,NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
408086,60021, Spicy(Grilled Whole Chicken) &#47588;&#50868;&#47579;,"&#36771;&#21619;&#65288;&#28900;&#20840;&#38622;&#65289;
&#47588;&#50868;&#47579;",3,1000,1,0,,,NULL,0,,,NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
409004,58748,Vegetable Delight &#32032;&#20160;&#38182;,,20,1000,1,0,,,NULL,0,,,NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
409487,60198,&#24180;&#24180;&#26377;&#39192;(4&#20154;&#20221;) &#26865;&#37002;&#39770;+ &#27963;&#34662;,"&#24180;&#24180;&#26377;&#39192;(4&#20154;&#20221;) &#26865;&#37002;&#39770;+ &#27963;&#34662;+&#22291;&#24180;&#31957;	Channel Catfishm Live Shrimp & Rice Cake (for 4)",21,1000,1,0,,,NULL,0,,,NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
410441,60202,&#38893;&#40643;&#27963;&#40157;&#31528;  (&#29983;&#29190;&#40569;&#34507;&#40643;/&#23574;&#26898;,Sliced Eel with Chives (Salty Egg or Pepper),11,1000,1,0,,,NULL,0,,,NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
410446,60202,&#34662;&#23376;&#22823;&#28879;&#21443;,Braised Sea Cucumber with Shrimps,15,1000,1,0,,,NULL,0,,,NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
411772,60407,"&#34193;&#34085;&#40845;&#34662;	Lobster In Black bean Sauce SP $_______",Seasonal Price &#23395;&#31680;&#20729;,15,1000,1,0,,,NULL,0,,,NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
411773,60407,&#24178;&#29138;&#40845;&#34662;* Lobster in Chili Sauce* SP $_______,Seasonal Price &#23395;&#31680;&#20729;,16,1000,1,0,,,NULL,0,,,NULL,NULL,NULL,NULL,1,ALWAYS,ALWAYS,0,0
